No	feature	variable
399	"fBodyAccJerk-bandsEnergy()-25,32"	fBdAccJerk_bndsE_25_32
400	"fBodyAccJerk-bandsEnergy()-33,40"	fBdAccJerk_bndsE_33_40
401	"fBodyAccJerk-bandsEnergy()-41,48"	fBdAccJerk_bndsE_41_48
402	"fBodyAccJerk-bandsEnergy()-49,56"	fBdAccJerk_bndsE_49_56
403	"fBodyAccJerk-bandsEnergy()-57,64"	fBdAccJerk_bndsE_57_64
404	"fBodyAccJerk-bandsEnergy()-1,16"	fBdAccJerk_bndsE_1_16
405	"fBodyAccJerk-bandsEnergy()-17,32"	fBdAccJerk_bndsE_17_32
406	"fBodyAccJerk-bandsEnergy()-33,48"	fBdAccJerk_bndsE_33_48
407	"fBodyAccJerk-bandsEnergy()-49,64"	fBdAccJerk_bndsE_49_64
408	"fBodyAccJerk-bandsEnergy()-1,24"	fBdAccJerk_bndsE_1_24
409	"fBodyAccJerk-bandsEnergy()-25,48"	fBdAccJerk_bndsE_25_48
410	"fBodyAccJerk-bandsEnergy()-1,8"	fBdAccJerk_bndsE_1_8
411	"fBodyAccJerk-bandsEnergy()-9,16"	fBdAccJerk_bndsE_9_16
412	"fBodyAccJerk-bandsEnergy()-17,24"	fBdAccJerk_bndsE_17_24
413	"fBodyAccJerk-bandsEnergy()-25,32"	fBdAccJerk_bndsE_25_32
414	"fBodyAccJerk-bandsEnergy()-33,40"	fBdAccJerk_bndsE_33_40
415	"fBodyAccJerk-bandsEnergy()-41,48"	fBdAccJerk_bndsE_41_48
416	"fBodyAccJerk-bandsEnergy()-49,56"	fBdAccJerk_bndsE_49_56
417	"fBodyAccJerk-bandsEnergy()-57,64"	fBdAccJerk_bndsE_57_64
418	"fBodyAccJerk-bandsEnergy()-1,16"	fBdAccJerk_bndsE_1_16
419	"fBodyAccJerk-bandsEnergy()-17,32"	fBdAccJerk_bndsE_17_32
420	"fBodyAccJerk-bandsEnergy()-33,48"	fBdAccJerk_bndsE_33_48
421	"fBodyAccJerk-bandsEnergy()-49,64"	fBdAccJerk_bndsE_49_64
422	"fBodyAccJerk-bandsEnergy()-1,24"	fBdAccJerk_bndsE_1_24
423	"fBodyAccJerk-bandsEnergy()-25,48"	fBdAccJerk_bndsE_25_48
424	fBodyGyro-mean()-X	fBdGyro_mean_X
425	fBodyGyro-mean()-Y	fBdGyro_mean_Y
426	fBodyGyro-mean()-Z	fBdGyro_mean_Z
427	fBodyGyro-std()-X	fBdGyro_std_X
428	fBodyGyro-std()-Y	fBdGyro_std_Y
429	fBodyGyro-std()-Z	fBdGyro_std_Z
430	fBodyGyro-mad()-X	fBdGyro_mad_X
431	fBodyGyro-mad()-Y	fBdGyro_mad_Y
432	fBodyGyro-mad()-Z	fBdGyro_mad_Z
433	fBodyGyro-max()-X	fBdGyro_max_X
434	fBodyGyro-max()-Y	fBdGyro_max_Y
435	fBodyGyro-max()-Z	fBdGyro_max_Z
436	fBodyGyro-min()-X	fBdGyro_min_X
437	fBodyGyro-min()-Y	fBdGyro_min_Y
438	fBodyGyro-min()-Z	fBdGyro_min_Z
439	fBodyGyro-sma()	fBdGyro_sma
440	fBodyGyro-energy()-X	fBdGyro_energy_X
441	fBodyGyro-energy()-Y	fBdGyro_energy_Y
442	fBodyGyro-energy()-Z	fBdGyro_energy_Z
443	fBodyGyro-iqr()-X	fBdGyro_iqr_X
444	fBodyGyro-iqr()-Y	fBdGyro_iqr_Y
445	fBodyGyro-iqr()-Z	fBdGyro_iqr_Z
446	fBodyGyro-entropy()-X	fBdGyro_entropy_X
447	fBodyGyro-entropy()-Y	fBdGyro_entropy_Y
448	fBodyGyro-entropy()-Z	fBdGyro_entropy_Z
449	fBodyGyro-maxInds-X	fBdGyro_maxInds_X
450	fBodyGyro-maxInds-Y	fBdGyro_maxInds_Y
451	fBodyGyro-maxInds-Z	fBdGyro_maxInds_Z
452	fBodyGyro-meanFreq()-X	fBdGyro_meanFreq_X
453	fBodyGyro-meanFreq()-Y	fBdGyro_meanFreq_Y
454	fBodyGyro-meanFreq()-Z	fBdGyro_meanFreq_Z
455	fBodyGyro-skewness()-X	fBdGyro_skewness_X
456	fBodyGyro-kurtosis()-X	fBdGyro_kurtosis_X
457	fBodyGyro-skewness()-Y	fBdGyro_skewness_Y
458	fBodyGyro-kurtosis()-Y	fBdGyro_kurtosis_Y
459	fBodyGyro-skewness()-Z	fBdGyro_skewness_Z
460	fBodyGyro-kurtosis()-Z	fBdGyro_kurtosis_Z
461	"fBodyGyro-bandsEnergy()-1,8"	fBdGyro_bndsE_1_8
462	"fBodyGyro-bandsEnergy()-9,16"	fBdGyro_bndsE_9_16
463	"fBodyGyro-bandsEnergy()-17,24"	fBdGyro_bndsE_17_24
464	"fBodyGyro-bandsEnergy()-25,32"	fBdGyro_bndsE_25_32
465	"fBodyGyro-bandsEnergy()-33,40"	fBdGyro_bndsE_33_40
466	"fBodyGyro-bandsEnergy()-41,48"	fBdGyro_bndsE_41_48
467	"fBodyGyro-bandsEnergy()-49,56"	fBdGyro_bndsE_49_56
468	"fBodyGyro-bandsEnergy()-57,64"	fBdGyro_bndsE_57_64
469	"fBodyGyro-bandsEnergy()-1,16"	fBdGyro_bndsE_1_16
470	"fBodyGyro-bandsEnergy()-17,32"	fBdGyro_bndsE_17_32
471	"fBodyGyro-bandsEnergy()-33,48"	fBdGyro_bndsE_33_48
472	"fBodyGyro-bandsEnergy()-49,64"	fBdGyro_bndsE_49_64
473	"fBodyGyro-bandsEnergy()-1,24"	fBdGyro_bndsE_1_24
474	"fBodyGyro-bandsEnergy()-25,48"	fBdGyro_bndsE_25_48
475	"fBodyGyro-bandsEnergy()-1,8"	fBdGyro_bndsE_1_8
476	"fBodyGyro-bandsEnergy()-9,16"	fBdGyro_bndsE_9_16
477	"fBodyGyro-bandsEnergy()-17,24"	fBdGyro_bndsE_17_24
478	"fBodyGyro-bandsEnergy()-25,32"	fBdGyro_bndsE_25_32
479	"fBodyGyro-bandsEnergy()-33,40"	fBdGyro_bndsE_33_40
480	"fBodyGyro-bandsEnergy()-41,48"	fBdGyro_bndsE_41_48
481	"fBodyGyro-bandsEnergy()-49,56"	fBdGyro_bndsE_49_56
482	"fBodyGyro-bandsEnergy()-57,64"	fBdGyro_bndsE_57_64
483	"fBodyGyro-bandsEnergy()-1,16"	fBdGyro_bndsE_1_16
484	"fBodyGyro-bandsEnergy()-17,32"	fBdGyro_bndsE_17_32
485	"fBodyGyro-bandsEnergy()-33,48"	fBdGyro_bndsE_33_48
486	"fBodyGyro-bandsEnergy()-49,64"	fBdGyro_bndsE_49_64
487	"fBodyGyro-bandsEnergy()-1,24"	fBdGyro_bndsE_1_24
488	"fBodyGyro-bandsEnergy()-25,48"	fBdGyro_bndsE_25_48
489	"fBodyGyro-bandsEnergy()-1,8"	fBdGyro_bndsE_1_8
490	"fBodyGyro-bandsEnergy()-9,16"	fBdGyro_bndsE_9_16
491	"fBodyGyro-bandsEnergy()-17,24"	fBdGyro_bndsE_17_24
492	"fBodyGyro-bandsEnergy()-25,32"	fBdGyro_bndsE_25_32
493	"fBodyGyro-bandsEnergy()-33,40"	fBdGyro_bndsE_33_40
494	"fBodyGyro-bandsEnergy()-41,48"	fBdGyro_bndsE_41_48
495	"fBodyGyro-bandsEnergy()-49,56"	fBdGyro_bndsE_49_56
496	"fBodyGyro-bandsEnergy()-57,64"	fBdGyro_bndsE_57_64
497	"fBodyGyro-bandsEnergy()-1,16"	fBdGyro_bndsE_1_16
498	"fBodyGyro-bandsEnergy()-17,32"	fBdGyro_bndsE_17_32
499	"fBodyGyro-bandsEnergy()-33,48"	fBdGyro_bndsE_33_48
500	"fBodyGyro-bandsEnergy()-49,64"	fBdGyro_bndsE_49_64
501	"fBodyGyro-bandsEnergy()-1,24"	fBdGyro_bndsE_1_24
502	"fBodyGyro-bandsEnergy()-25,48"	fBdGyro_bndsE_25_48
503	fBodyAccMag-mean()	fBdAccMag_mean
504	fBodyAccMag-std()	fBdAccMag_std
505	fBodyAccMag-mad()	fBdAccMag_mad
506	fBodyAccMag-max()	fBdAccMag_max
507	fBodyAccMag-min()	fBdAccMag_min
508	fBodyAccMag-sma()	fBdAccMag_sma
509	fBodyAccMag-energy()	fBdAccMag_energy
510	fBodyAccMag-iqr()	fBdAccMag_iqr
511	fBodyAccMag-entropy()	fBdAccMag_entropy
512	fBodyAccMag-maxInds	fBdAccMag_maxInds
513	fBodyAccMag-meanFreq()	fBdAccMag_meanFreq
514	fBodyAccMag-skewness()	fBdAccMag_skewness
515	fBodyAccMag-kurtosis()	fBdAccMag_kurtosis
516	fBodyBodyAccJerkMag-mean()	fBdBdAccJerkMag_mean
517	fBodyBodyAccJerkMag-std()	fBdBdAccJerkMag_std
518	fBodyBodyAccJerkMag-mad()	fBdBdAccJerkMag_mad
519	fBodyBodyAccJerkMag-max()	fBdBdAccJerkMag_max
520	fBodyBodyAccJerkMag-min()	fBdBdAccJerkMag_min
521	fBodyBodyAccJerkMag-sma()	fBdBdAccJerkMag_sma
522	fBodyBodyAccJerkMag-energy()	fBdBdAccJerkMag_energy
523	fBodyBodyAccJerkMag-iqr()	fBdBdAccJerkMag_iqr
524	fBodyBodyAccJerkMag-entropy()	fBdBdAccJerkMag_entropy
525	fBodyBodyAccJerkMag-maxInds	fBdBdAccJerkMag_maxInds
526	fBodyBodyAccJerkMag-meanFreq()	fBdBdAccJerkMag_meanFreq
527	fBodyBodyAccJerkMag-skewness()	fBdBdAccJerkMag_skewness
528	fBodyBodyAccJerkMag-kurtosis()	fBdBdAccJerkMag_kurtosis
529	fBodyBodyGyroMag-mean()	fBdBdGyroMag_mean
530	fBodyBodyGyroMag-std()	fBdBdGyroMag_std
531	fBodyBodyGyroMag-mad()	fBdBdGyroMag_mad
532	fBodyBodyGyroMag-max()	fBdBdGyroMag_max
533	fBodyBodyGyroMag-min()	fBdBdGyroMag_min
534	fBodyBodyGyroMag-sma()	fBdBdGyroMag_sma
535	fBodyBodyGyroMag-energy()	fBdBdGyroMag_energy
536	fBodyBodyGyroMag-iqr()	fBdBdGyroMag_iqr
537	fBodyBodyGyroMag-entropy()	fBdBdGyroMag_entropy
538	fBodyBodyGyroMag-maxInds	fBdBdGyroMag_maxInds
539	fBodyBodyGyroMag-meanFreq()	fBdBdGyroMag_meanFreq
540	fBodyBodyGyroMag-skewness()	fBdBdGyroMag_skewness
541	fBodyBodyGyroMag-kurtosis()	fBdBdGyroMag_kurtosis
542	fBodyBodyGyroJerkMag-mean()	fBdBdGyroJerkMag_mean
543	fBodyBodyGyroJerkMag-std()	fBdBdGyroJerkMag_std
544	fBodyBodyGyroJerkMag-mad()	fBdBdGyroJerkMag_mad
545	fBodyBodyGyroJerkMag-max()	fBdBdGyroJerkMag_max
546	fBodyBodyGyroJerkMag-min()	fBdBdGyroJerkMag_min
547	fBodyBodyGyroJerkMag-sma()	fBdBdGyroJerkMag_sma
548	fBodyBodyGyroJerkMag-energy()	fBdBdGyroJerkMag_energy
549	fBodyBodyGyroJerkMag-iqr()	fBdBdGyroJerkMag_iqr
550	fBodyBodyGyroJerkMag-entropy()	fBdBdGyroJerkMag_entropy
551	fBodyBodyGyroJerkMag-maxInds	fBdBdGyroJerkMag_maxInds
552	fBodyBodyGyroJerkMag-meanFreq()	fBdBdGyroJerkMag_meanFreq
553	fBodyBodyGyroJerkMag-skewness()	fBdBdGyroJerkMag_skewness
554	fBodyBodyGyroJerkMag-kurtosis()	fBdBdGyroJerkMag_kurtosis
555	"angle(tBodyAccMean,gravity)"	angle_tBdAccMean_G
556	"angle(tBodyAccJerkMean),gravityMean)"	angle_tBdAccJerkMean_GMean
557	"angle(tBodyGyroMean,gravityMean)"	angle_tBdGyroMean_GMean
558	"angle(tBodyGyroJerkMean,gravityMean)"	angle_tBdGyroJerkMean_GMean
559	"angle(X,gravityMean)"	angle_X_GMean
560	"angle(Y,gravityMean)"	angle_Y_GMean
561	"angle(Z,gravityMean)"	angle_Z_GMean
562	"indicate source data set: test/train"	flag
563	subject	subject
564	"activity label"	activitylabel
